   Satellite ID          GPS Time         Pseudorange       Carrier Phase       C/N
            150        367512.004        38146810.073        38146815.528        44
            151        367512.004        38562457.791        38562467.031        42
            153        367512.004        39504969.457        39504990.908        41
            154        367512.004        40223878.940        40223885.778        40
            155        367512.004        42009603.818        42009614.217        35
             27        367512.004        26445373.049        26445360.731        42
             22        367512.004        24724384.695        24724384.695         0
              1        367513.004        21314598.220        21314584.751        52
              7        367513.004        21261773.463        21261758.410        50
             30        367513.004        22311604.627        22311597.130        50
             11        367513.004        21417086.315        21417069.672        50
              8        367513.004        23887072.100        23887053.497        48
             17        367513.004        25206875.980        25206866.913        44
             28        367513.004        25140295.576        25140286.243        44
             22        367513.004        24742365.549        24742349.756        39
              9        367513.004        25761228.924        25761222.441        42
              3        367513.004        25533781.656        25533767.774        41
             16        367513.004        26256232.764        26256223.180        38
            157        367513.004        37487030.901        37487049.215        45
            150        367513.004        38165105.624        38165111.075        44
            151        367513.004        38580746.079        38580755.332        42
            153        367513.004        39523261.809        39523283.268        41
            154        367513.004        40242165.023        40242171.854        40
            155        367513.004        42027792.634        42027803.059        35
             27        367513.004        26464135.079        26464122.757        42
              1        367514.004        21332808.841        21332795.370        52
              7        367514.004        21280094.805        21280079.763        50
             30        367514.004        22329583.408        22329575.862        50
             11        367514.004        21435549.095        21435532.446        50
              8        367514.004        23905766.829        23905748.204        48
             17        367514.004        25224860.656        25224851.587        44
             22        367514.004        21162822.866        21162824.209         0
             28        367514.004        25158192.133        25158182.791        44
              9        367514.004        25779911.285        25779904.872        42
              3        367514.004        25551637.855        25551623.963        41
             16        367514.004        26274905.022        26274895.465        38
            157        367514.004        37505429.368        37505447.682        45
            150        367514.004        38183401.586        38183406.989        44
            151        367514.004        38599034.696        38599044.022        42
            153        367514.004        39541554.506        39541576.016        41
            154        367514.004        40260451.400        40260458.310        40
            155        367514.004        42045981.800        42045992.239        35
             27        367514.004        26482897.440        26482885.130        42
              1        367515.004        21351019.100        21351005.618        52
              7        367515.004        21298415.778        21298400.747        50
             30        367515.004        22347561.731        22347554.197        50
             11        367515.004        21454011.467        21453994.820        50
              8        367515.004        23924461.047        23924442.404        48
             17        367515.004        25242844.871        25242835.798        44
             28        367515.004        25176088.174        25176078.818        44
             22        367515.004        24778305.039        24778311.889         0
              9        367515.004        25798593.111        25798586.765        42
              3        367515.004        25569493.560        25569479.625        41
             16        367515.004        26293576.753        26293567.288        38
            157        367515.004        37523827.332        37523845.648        45
            150        367515.004        38201696.991        38201702.404        44
            151        367515.004        38617322.896        38617332.193        42
            153        367515.004        39559846.742        39559868.247        41
            154        367515.004        40278737.370        40278744.244        40
            155        367515.004        42064170.439        42064180.871        35
             27        367515.004        26501659.284        26501646.965        42
              1        367516.004        21369229.471        21369216.035        52
              7        367516.004        21316736.926        21316721.902        50
             30        367516.004        22365540.220        22365532.683        50
             11        367516.004        21472473.998        21472457.345        50
              8        367516.004        23943155.291        23943136.643        48
             17        367516.004        25260829.167        25260820.098        44
             22        367516.004        24796264.440        24796267.865         0
             28        367516.004        25193984.228        25193974.861        44
              9        367516.004        25817274.987        25817268.666        42
              3        367516.004        25587349.294        25587335.300        41
             16        367516.004        26312248.578        26312239.190        38
            157        367516.004        37542225.361        37542243.680        45
            150        367516.004        38219992.455        38219997.860        44
